,review_id,user_id,business_id,stars,useful,funny,cool,text,date,Date_Only,Date_Hour
2042635,MXAfv0tJ7h5GMBXgKqmU6Q,SCDlBvTPZf6hC3tdCSRFEQ,qJxjhLQjLcYnpcqqDHS3Jg,5.0,0,0,0,I fell in love with Ceviche in Peru and then fell back in in DC at one of Jose Andres' places! This little hidden gem on Newbury is a new invention I had never heard of: Latin Fusion! And they definitely do the term justice. From authentic and mouth watering Mexican Elotes to the incredibly fresh fish ceviche all the way to Peruvian Pisco Sour I couldn't stop ordering and enjoying. I've been here 4 times after my first and the experiences are always too notch. Please go now before the newspaper reviews make the lines impossible to get in.,2017-12-01 00:00:41,2017-12-01,0
323914,m4shKWOnjyzXBfu0grz2Zg,wt2dLgkSPqjo6h-BsKXAGw,kC5waeCFXCuLicC4gfFPrw,4.0,0,0,0,"This is my go to location since it's closest and most convenient location for me. I always get one of two things, a flavored rebel or a hot coffee. Just recently on my way to work I ordered a large white chocolate mocha for walk up. I received it a few minutes after it was ready for me as the barista got distracted from the dog on the drive thru side. I finally get my coffee and head to work. I open up my coffee to check to see if it's always full. I look inside and it's 3/4 full (no drinks have been taken) and already cooled down and not hot enough. Will I be returning? Absolutely. Just because of one mistake, doesn't mean I won't go back there. Other than the distraction and less coffee, the baristas are great and take care of you as fast as they can when it's busy.",2017-12-01 00:00:50,2017-12-01,0
111843,rRQCXz5JXCAJXZqsV5JiMw,615TblffZEdpWYUglH1O1g,ADVLOM-Yqn5gEzEqdHjrqg,1.0,7,0,0,"My budgie was sick for a couple of days.  I had another appointment for Thursday at another place, but i saw she was really ill.  I contacted Lavista animal hospital to see if they had a Avian vet.  They said they do and that she also has a mobile vet service and would come to me.  I called Dr Tobias to see if she could see my bird and told her I didn't have a lot of money but wanted to do what i could to see what's wrong with her and to make her comfortable.  When i talked to her she asked me to bring the bird in and I said Ok.  I asked her how much it would cost.  She told me the exam would be $65.00 I said okay.  Let me tell you about my horror story.  I arrived at Lavista animal hospital around 5:35pm  My Budgie was at the bottom of the cage with rapid breathing and very very fluffed (signs of a dying bird) She also had a swollen bald bottom.   I was thinking maybe egg bound.  She takes her out the cage and looks at her bottom.  Sticks a long Q Tip in her bottom.  She's squeaking every time she does it.   She saids she doesn't think she is eggbound and told me she was going to give her an x-ray, didn't ask if I wanted an x-ray just took her off and supposedly did it.  (5 MINUTES) later.  I mean just 5 minutes later, she comes back and says there's no egg or mass in her bottom (never showed me an x-ray) and says she gave her shot inside her wing (never asked me if she could), gave her an antibiotic (never asked me if she could) and gave her a lube inside her cloaca.  When my bird was put back in the cage she was far worse then when i bought her in.  She died around 2am that night.  I was charged $85.00 for exam (told it would be 65) X-ray 65.00, shot $25.00 antibiotic tabs 28.00, Lube cloaca $1.96.  I got charged $204.96 and watch my budgie suffer and die.",2017-12-01 00:01:00,2017-12-01,0
1562172,TlUwbT3IuHQ6cu9SROsvoA,LejQ1PKzX_VQYZ6RIrAWew,TfWcRkBUAqVIW10zaM3lzw,5.0,6,0,2,"Who would have thought that one of the best Vietnamese/Thai  restaurants would be in the Vancouver?
I just found out yesterday, but the owners do have restaurants in Portland too.
It is very modern, clean and nicely decorated inside this family run place.
You can tell that, by the way they help each other, with no regard to whose table it is.

I had a new soup that maybe only 3-4 places make in the metro area.  (Kao Poon Nam Gai) a Laotioan red curry noodle soup.

It consists of red curry,coconut milk, bean sprouts,carrots, cabbage, basil, shredded chicken and rice noodles. It is very much like the Thai soup ( Kao Soi ) which is my favorite soup. It was the best one I have had. 
My service from all was great, but especially from Bob and Jinney. Two of my personal favorites are that it is sit down restaurant  and not coutnet service and that they will dish up your remaining left over food for you.
Keep it up and I will see you soon.",2017-12-01 00:01:15,2017-12-01,0
2122963,N66pdRhzayxvq-5HFY-Keg,curRPW5FoKuMb5Dw3XB7Ng,C83TzixCKBG78F7orXC71A,1.0,2,0,0,We took our dog Lincoln here to be kenneled for three days and he was an absolute wreck when we picked him up. We usually always would take him to our hunt club to their kennels or a friend's home but we thought we'd try Divine Canine. He was soaked in urine and his nice bed we left for him was also soaked in urine. He was lethargic and slept the entire day we got home. Didn't eat. Didn't really move. It was blatantly clear he's been given a large amount of sedative. I would absolutely NOT recommend anyone take their dog here.,2017-12-01 00:01:32,2017-12-01,0
2064391,WGi-THHfUruzjUT2aJ__dA,1jUMhPy6fQtO48HDRL-Xxg,k_WC9IaLuLLhFxJ4PnQrnQ,5.0,0,0,0,"I ever only get their combination #1, so that's all I can speak to.  Amazing sausage unlike any other I've had on a pie (and I've tried the top joints in Chicago and NYC).  The total onslaught of meat and veggies here has to be experienced.  The expensive price reflects the quality, and so I find it a value since it delivers so much goodness.  Now I'm hungry.",2017-12-01 00:02:08,2017-12-01,0
2046512,ilPMwm0CNYcsxPpGgAKdQA,BNb4RQkiOhK7F4Chcnmy9g,pgb_V3Wk56X5HK1NfLFgcw,4.0,0,0,0,"I love this place. Good service, great location and varied menu. I tried the Guinness stew which was great. I agree with some reviews that it might be a little touristy but it's still a great place to eat dinner.",2017-12-01 00:02:12,2017-12-01,0
77734,_r28zHxLg1m_m9mpvYy8XA,F8i8GFCmatK8FlWI4tXaNA,ewFMsE_X1PcS09yuO6eklA,1.0,0,0,0,"J. GIlbert's has been a place we've often gone with friends for special occasions.  But, as another review stated, ""something is amiss"" there.  Two of us ordered steaks, and they just didn't taste good.  The glaze on them was different than we'd expect in a steak house.  My top sirloin steak was the shape of a pork tenderloin rather than flat.  This was a very different experience than we've ever had a steak house.  It might have been a bad day for them, but the intense wood-firing may be taking away from the taste one expects from steaks.",2017-12-01 00:02:48,2017-12-01,0
2342127,kl0aK2Yp4orCUZ_dRnyYtw,kDTh6G0Z4nUIK2da3VLb1A,YK9sI9wMV23kY4QHViC2CA,5.0,0,0,0,"So I was in town today and like to look up different local spots for a meal. This place showed up and I couldn't believe over 100 reviews and a 5 start rating! Well they were not wrong, first there is plenty of free parking and easy to find.The place isn't too big but nice and new look to it. Its a QSR so you place your order at the counter pay and they will bring your order to you. So me being from Los Angeles i know a thing or too about Korean food and it's flavors. Well let's start by me saying it was very delicious and spot on! Service was very friendly and helpful, if you are coming on your lunch break I recommend calling ahead so u do not wait too long. Next time im in town this will be my go too place!!!",2017-12-01 00:03:01,2017-12-01,0
963346,CuSn1JFQTEt2cK_CFI_MMg,Tyv1bpRoitRgxMOHBguXqg,zu2MOe5SZtvJUzVJBhgvpw,4.0,2,0,0,"I went to New City Cafe for the first time today and it was very enjoyable. As a vegan I wasn't sure what my options would be but was happy to find out they have almond milk that can be subbed in most drinks. I got an iced chai latte with almond milk and it was great! It was a bit noisy inside but there was plenty  of outdoor seating so we moved out there. Can't speak for the vegan or gluten-free food options since I didn't look at the food menu. My suggestions would be for them to have multiple dairy-free milk options (my mom wouldn't be able to order most drinks because she can't have dairy or almond, or soy for that matter), and to have a ""for here"" option on the cups for iced drinks (single-use plastics are very wasteful).",2017-12-01 00:03:04,2017-12-01,0
